workLat,workLong,workTweets,homeLat,homeLong,homeTweets,#tweets,userID
46.84,7.66,121.0,46.84,7.66,25.0,146,310923245
46.2,6.14,63.0,46.2,6.14,82.0,146,163258008
47.5,8.73,18.0,47.5,8.73,12.0,146,87409755
46.29,7.52,20.0,46.29,7.53,28.0,146,397035651
47.37,8.54,22.0,47.33,8.61,34.0,146,424985828
45.97,6.45,32.0,45.97,6.45,15.0,146,293711863
46.03,7.0,10.0,45.83,6.95,10.0,146,3708674235
46.53,6.62,47.0,46.53,6.62,59.0,146,75100184
46.18,6.15,54.0,46.18,6.15,92.0,146,873366320
46.72,7.06,43.0,46.72,7.06,103.0,146,468206518
47.38,8.54,92.0,47.38,8.54,44.0,146,38406999
46.11,7.08,41.0,46.16,7.12,68.0,146,1464942782
47.43,6.89,14.0,47.45,6.85,71.0,146,458445838
47.38,8.54,60.0,47.38,8.54,19.0,146,196487177
47.64,6.85,49.0,47.63,6.85,10.0,146,292488052
46.62,9.57,82.0,46.62,9.57,56.0,146,182512286
45.85,9.39,21.0,45.9,9.39,29.0,146,364067343
47.17,8.83,102.0,47.17,8.83,44.0,146,279729117
46.05,6.77,10.0,45.85,6.1,31.0,146,456929995
46.81,9.85,63.0,46.81,9.85,38.0,146,291908443
47.68,9.51,131.0,47.68,9.51,15.0,146,48062173
46.52,6.02,103.0,46.52,6.02,18.0,146,476210420
46.59,6.66,63.0,46.48,6.93,15.0,146,288979374
47.38,8.54,34.0,47.38,8.54,14.0,146,16247296
47.43,8.67,93.0,47.43,8.67,16.0,146,19705250
47.15,7.26,101.0,47.15,7.26,24.0,146,796500121
47.17,10.16,67.0,47.17,10.16,57.0,147,2335773625
46.93,7.57,30.0,46.93,7.57,111.0,147,2540785925
47.38,8.54,74.0,47.38,8.54,52.0,147,29729597
47.38,8.54,106.0,47.38,8.54,41.0,147,718468759212711937
47.51,9.74,64.0,47.51,9.74,81.0,147,317909076
46.95,7.44,80.0,46.95,7.44,66.0,147,599495518
47.74,10.3,35.0,47.74,10.3,111.0,147,2545508936
47.38,8.54,125.0,47.38,8.54,22.0,147,141299828
46.32,6.02,66.0,46.32,6.02,81.0,147,480702315
47.68,9.51,127.0,47.68,9.51,20.0,147,553314223
47.45,8.58,69.0,47.45,8.58,78.0,147,68226134
47.04,8.31,14.0,47.04,8.3,36.0,147,426480371
47.03,8.18,12.0,46.69,9.65,10.0,147,317336718
47.72,7.28,35.0,47.72,7.28,112.0,147,4099444629
46.8,6.0,40.0,46.8,6.0,22.0,147,1119183457
45.8,8.88,56.0,45.8,8.88,31.0,147,2759131145
45.8,9.43,16.0,45.81,9.42,43.0,147,201627006
46.26,10.51,126.0,46.26,10.51,18.0,147,488748996
47.38,8.54,89.0,47.38,8.54,46.0,147,300401720
47.7,7.3,68.0,47.7,7.3,77.0,147,188608024
46.2,6.14,75.0,46.2,6.14,70.0,147,17905508
46.95,7.39,79.0,46.95,7.39,39.0,147,314480627
45.83,8.83,20.0,45.82,8.82,13.0,147,390091402
47.27,8.81,27.0,47.24,8.74,32.0,147,2217780495
45.89,6.1,60.0,45.89,6.1,81.0,147,393215681
45.8,6.57,62.0,45.8,6.57,58.0,148,150408246
46.22,6.13,44.0,46.22,6.13,48.0,148,192190395
46.24,6.09,18.0,46.24,6.09,13.0,148,3423817708
47.26,6.01,82.0,47.26,6.01,66.0,148,113004961
46.14,6.68,88.0,46.14,6.68,58.0,148,557051351
46.23,6.08,49.0,46.2,6.14,20.0,148,1230442608
46.2,6.14,95.0,46.2,6.14,53.0,148,2969347835
47.67,9.47,13.0,47.8,9.76,11.0,148,160898755
47.47,7.6,57.0,47.47,7.6,85.0,148,1539596168
46.53,6.65,96.0,46.53,6.65,52.0,148,68921291
47.7,7.85,122.0,47.7,7.85,22.0,148,2229931388
46.0,8.96,13.0,46.0,8.96,20.0,148,3109911158
47.73,6.8,63.0,47.73,6.8,55.0,148,3066706973
46.48,6.93,13.0,46.48,6.93,76.0,148,232512651
47.78,8.37,60.0,47.78,8.37,88.0,148,3309294471
47.38,8.54,20.0,47.38,8.54,12.0,148,143525265
46.01,6.25,76.0,46.01,6.25,72.0,148,3206454435
45.79,9.08,40.0,45.79,9.08,104.0,148,745063154
45.93,6.88,41.0,45.93,6.88,42.0,149,189584434
47.8,7.23,15.0,47.8,7.23,24.0,149,436933697
47.38,8.54,13.0,46.55,7.91,25.0,149,257771123
46.75,6.91,37.0,46.75,6.91,100.0,149,470168582
46.51,6.69,29.0,46.5,6.69,43.0,149,542665604
46.78,6.64,129.0,46.78,6.64,20.0,149,314098280
45.85,8.85,25.0,45.85,8.85,31.0,149,923513982
47.5,6.8,11.0,47.51,6.81,60.0,149,589476419
47.2,7.43,13.0,47.2,7.54,79.0,149,17019176
45.87,9.09,98.0,45.87,9.09,35.0,149,120820361
45.97,8.88,122.0,45.97,8.88,25.0,149,2224731408
47.38,8.54,13.0,46.84,7.66,22.0,149,2878727930
47.72,8.62,71.0,47.72,8.62,69.0,149,67542231
46.19,8.99,17.0,46.19,9.02,17.0,149,1081302158
46.19,6.16,22.0,46.2,6.16,13.0,149,1112417886
47.46,8.34,82.0,47.46,8.34,66.0,149,706139616533987328
45.95,8.77,77.0,45.95,8.77,68.0,149,711911455
47.38,8.54,109.0,47.38,8.54,40.0,149,476893427
45.97,6.45,83.0,45.97,6.45,54.0,150,715185082
45.9,6.11,64.0,45.9,6.11,61.0,150,3206431555
47.75,7.33,109.0,47.75,7.33,38.0,150,897925909
46.05,6.42,31.0,46.05,6.42,11.0,150,1231247900
45.73,7.37,63.0,45.73,7.37,87.0,150,258729253
47.38,8.54,23.0,47.38,8.54,31.0,150,1146277621
47.24,6.05,58.0,47.24,6.05,69.0,150,1387602937
45.76,9.85,134.0,45.76,9.85,12.0,150,2178155797
47.75,7.33,120.0,47.75,7.33,20.0,150,806922990
46.59,6.66,18.0,46.53,6.64,70.0,150,459734631
45.92,6.87,14.0,45.92,6.87,39.0,150,206698590
47.55,7.59,10.0,46.0,8.96,43.0,150,52702335
47.15,8.0,47.0,47.15,8.0,75.0,150,1246967060
46.49,6.51,31.0,46.49,6.51,119.0,150,762158202
45.73,7.37,129.0,45.73,7.37,21.0,150,948465056
46.95,7.44,80.0,46.95,7.44,48.0,150,1539585151
46.84,7.66,16.0,46.84,7.66,14.0,150,731143887776038914
47.51,6.81,50.0,47.51,6.81,22.0,150,2741557851
47.39,8.45,47.0,47.39,8.45,72.0,150,132577910
46.2,6.14,131.0,46.2,6.14,19.0,150,70985635
46.14,7.24,30.0,46.14,7.24,117.0,150,2161913584
46.81,8.22,22.0,46.81,8.22,40.0,150,1511730642
46.2,6.16,37.0,46.21,6.16,22.0,150,42421055
47.38,8.54,38.0,47.38,8.54,10.0,150,2406409561
47.06,6.74,61.0,47.06,6.74,62.0,150,2972806907
47.48,8.2,102.0,47.48,8.2,24.0,150,2299792399
47.35,8.16,72.0,47.39,8.18,71.0,150,392921666
47.25,6.0,98.0,47.25,6.0,47.0,151,512563576
46.23,6.12,59.0,46.23,6.12,83.0,151,580263768
45.83,8.81,65.0,45.83,8.81,13.0,151,53022062
45.89,6.13,64.0,45.89,6.13,45.0,151,995984419
46.17,8.84,20.0,46.17,8.84,128.0,151,2432377345
45.88,6.33,18.0,45.88,6.32,53.0,151,336552986
45.8,9.08,83.0,45.8,9.08,68.0,151,193365542
47.16,9.55,19.0,47.16,9.55,132.0,151,1195722816
47.81,6.38,67.0,47.81,6.38,83.0,151,789870990
46.2,6.14,102.0,46.2,6.14,49.0,151,46315077
45.92,6.13,98.0,45.92,6.13,39.0,151,1191032438
47.62,6.79,35.0,47.62,6.79,115.0,151,3389580893
47.24,6.04,108.0,47.24,6.04,43.0,151,552316406
45.79,6.04,60.0,45.79,6.04,91.0,151,2706974127
47.49,8.5,27.0,47.47,8.49,20.0,151,36497004
45.8,9.08,122.0,45.8,9.08,29.0,151,4909061157
46.62,8.04,74.0,46.62,8.04,77.0,151,726288841
46.2,6.14,11.0,46.53,6.65,109.0,151,107803143
46.19,6.12,77.0,46.19,6.12,73.0,151,479461125
47.75,7.37,22.0,47.75,7.37,21.0,151,880344192
46.53,6.64,72.0,46.53,6.64,79.0,151,817956751
47.75,7.34,10.0,47.75,7.33,51.0,151,22437377
47.82,7.15,69.0,47.82,7.15,82.0,151,235661933
47.38,8.54,82.0,47.38,8.54,58.0,151,2549528592
45.87,7.83,23.0,45.87,7.83,17.0,151,329958457
47.39,8.49,52.0,47.39,8.49,29.0,151,155514769
46.95,7.45,21.0,46.95,7.45,15.0,151,704692113
47.16,6.74,89.0,47.16,6.74,24.0,151,91590537
47.5,8.73,55.0,47.5,8.73,33.0,151,469501549
47.41,8.56,10.0,47.41,8.56,63.0,151,295127833
45.85,6.1,88.0,45.85,6.1,64.0,152,727768847076438017
47.24,6.05,25.0,47.2,5.94,34.0,152,493391861
47.56,7.61,29.0,47.56,7.58,32.0,152,2697820208
46.26,6.95,13.0,46.25,6.95,57.0,152,392859263
46.2,6.14,19.0,46.2,6.14,133.0,152,1592184930
45.94,6.11,13.0,45.94,6.11,129.0,152,167735299
46.64,6.64,46.0,46.64,6.64,102.0,152,450815682
47.41,8.39,44.0,47.41,8.39,104.0,152,997801836
47.38,8.54,25.0,47.38,8.54,11.0,152,348759062
47.78,7.28,39.0,47.78,7.28,113.0,152,908096322
45.72,6.66,88.0,45.72,6.66,64.0,152,912848556
46.95,7.39,73.0,46.95,7.39,75.0,152,828622741
47.71,9.15,71.0,47.71,9.15,79.0,152,2374953662
45.94,6.44,44.0,45.94,6.44,28.0,152,711197970
46.72,7.06,10.0,46.72,7.06,25.0,152,753241232772661248
46.28,6.08,79.0,46.28,6.08,59.0,152,75037519
47.18,8.45,44.0,47.18,8.45,33.0,152,2335938087
45.83,8.81,124.0,45.83,8.81,27.0,152,256522329
45.89,6.11,28.0,45.89,6.11,86.0,152,926168030
47.54,7.71,15.0,47.58,7.81,27.0,152,61947732
46.11,6.27,83.0,46.11,6.27,67.0,152,837778903
46.2,6.14,29.0,46.18,6.14,45.0,152,2902627126
47.38,8.5,89.0,47.38,8.5,33.0,152,867375871
46.25,6.1,22.0,46.23,6.11,26.0,152,613828174
46.52,6.67,42.0,46.52,6.67,57.0,152,770113435
46.99,7.5,36.0,46.99,7.5,11.0,153,86479843
46.1,6.57,75.0,46.1,6.57,66.0,153,1817201420
47.14,9.52,18.0,47.14,9.52,71.0,153,1868781655
47.56,7.58,104.0,47.56,7.58,49.0,153,812759934
46.3,7.54,57.0,46.3,7.54,96.0,153,953547985
47.06,8.31,123.0,47.06,8.31,27.0,153,571881643
45.83,8.89,11.0,45.83,8.89,111.0,153,2221337014
46.17,9.0,16.0,46.14,9.02,48.0,153,2731973861
47.26,6.01,68.0,47.26,6.01,71.0,153,815969574
47.75,6.01,55.0,47.75,6.01,62.0,153,2372348826
46.2,6.13,88.0,46.2,6.13,52.0,153,268188019
47.38,8.54,90.0,47.38,8.54,63.0,153,712329732155641856
45.9,6.23,56.0,45.9,6.23,74.0,153,938620050
47.38,8.54,22.0,47.38,8.54,17.0,153,17062476
47.38,8.54,93.0,47.38,8.54,59.0,153,1105212211
47.5,7.59,24.0,47.5,7.59,126.0,153,227158562
45.83,8.81,60.0,46.18,9.86,13.0,153,1200942644
47.04,8.37,76.0,47.04,8.37,57.0,154,2737089917
46.21,6.09,51.0,46.21,6.09,85.0,154,527902723
46.0,8.96,33.0,46.0,8.96,121.0,154,946301587
45.79,9.06,21.0,45.79,9.06,72.0,154,406419211
47.3,8.6,40.0,47.3,8.6,35.0,154,4218908272
47.05,6.11,50.0,47.05,6.11,60.0,154,1843390201
47.62,6.79,40.0,47.66,6.83,52.0,154,4828992892
47.15,7.26,86.0,47.15,7.26,65.0,154,3067884777
46.41,6.96,27.0,46.41,6.96,37.0,154,2754757518
47.62,6.95,48.0,47.62,6.95,27.0,154,520637322
47.45,6.88,81.0,47.45,6.88,63.0,154,1123137878
47.41,9.74,13.0,46.84,9.29,15.0,154,421311455
46.35,7.01,34.0,46.35,7.01,120.0,154,322972534
46.53,6.65,119.0,46.53,6.65,35.0,154,211064661
45.68,9.56,132.0,45.68,9.56,22.0,154,117435664
47.08,7.59,41.0,47.08,7.59,102.0,154,552075017
46.92,6.38,85.0,46.92,6.38,69.0,154,594774441
45.83,6.05,70.0,45.83,6.05,82.0,154,2725361507
46.2,6.15,73.0,46.2,6.15,66.0,154,300967613
46.77,9.82,116.0,46.77,9.82,23.0,155,3284042197
46.85,10.14,58.0,46.85,10.14,97.0,155,275098551
47.39,8.49,14.0,47.39,8.49,41.0,155,366491142
47.38,8.54,17.0,47.38,8.54,138.0,155,51997912
45.81,9.58,106.0,45.81,9.58,25.0,155,42349012
46.2,6.14,66.0,46.2,6.14,89.0,155,2843112929
47.74,7.36,20.0,47.75,7.33,10.0,155,958212133
45.8,9.43,69.0,45.8,9.43,74.0,155,406909963
46.91,7.47,55.0,46.91,7.47,83.0,155,1086511976
46.45,6.93,27.0,46.69,6.91,47.0,155,635742717
45.83,6.81,17.0,45.95,6.9,17.0,155,96998344
46.34,6.48,18.0,46.31,6.43,16.0,155,104616220
47.79,7.26,107.0,47.79,7.26,48.0,155,377472338
47.39,8.07,77.0,47.39,8.07,78.0,155,73206852
45.8,9.08,114.0,45.8,9.08,39.0,155,320773717
45.8,9.08,57.0,45.8,9.08,86.0,155,1221390050
45.8,8.85,43.0,45.8,8.84,12.0,155,89880964
46.81,8.22,61.0,46.81,8.22,94.0,155,2214117841
46.26,7.43,22.0,46.26,7.43,12.0,155,313358590
47.33,9.54,86.0,47.33,9.54,69.0,155,1660469432
47.56,7.51,81.0,47.56,7.51,73.0,155,3369537045
47.38,8.54,61.0,47.38,8.54,94.0,155,111643833
46.2,6.31,114.0,46.2,6.31,42.0,156,463219982
47.33,8.28,27.0,47.33,8.28,98.0,156,348494881
47.8,9.64,53.0,47.8,9.64,70.0,156,1537112490
45.82,8.81,72.0,45.82,8.81,53.0,156,102760709
46.69,7.86,61.0,46.69,7.86,86.0,156,339917409
47.43,8.67,53.0,47.43,8.67,12.0,156,26472212
47.14,6.2,51.0,47.14,6.2,29.0,156,2309878386
45.96,8.43,13.0,45.96,8.43,23.0,156,547209378
46.17,6.12,29.0,46.19,6.12,46.0,156,1606927477
47.06,6.74,13.0,46.23,7.37,76.0,156,236534270
45.88,9.94,86.0,45.88,9.94,23.0,156,753324692199632901
47.36,8.56,43.0,47.38,8.57,12.0,156,1004232888
46.16,9.74,60.0,46.16,9.74,96.0,156,795757734
47.23,8.66,43.0,47.23,8.66,21.0,156,73953537
45.84,6.2,19.0,45.89,6.21,15.0,156,2647461737
46.48,9.83,114.0,46.48,9.83,43.0,157,600090636
46.19,6.18,94.0,46.19,6.18,63.0,157,3086344950
45.88,6.52,58.0,45.88,6.52,93.0,157,2659562080
46.52,6.54,54.0,46.52,6.54,84.0,157,1482623144
46.5,6.67,26.0,46.51,6.67,25.0,157,469283536
47.7,7.28,27.0,47.7,7.28,56.0,157,2290156310
45.98,6.6,42.0,45.98,6.6,107.0,157,2490322387
47.35,8.64,79.0,47.35,8.64,78.0,157,20229645
47.1,6.82,13.0,47.1,6.82,21.0,157,231177111
46.81,8.22,58.0,46.81,8.22,99.0,157,1233562645
46.19,6.14,19.0,46.2,6.14,16.0,157,255656965
46.25,6.89,105.0,46.25,6.89,51.0,157,2862728391
46.39,6.59,61.0,46.39,6.59,96.0,157,159566370
46.16,8.8,47.0,46.16,8.8,110.0,157,1416755582
46.38,6.23,54.0,46.39,6.23,13.0,157,1096155517
45.92,6.13,22.0,45.92,6.13,71.0,157,48946741
46.3,6.05,22.0,46.3,6.05,128.0,157,505191760
46.27,10.39,75.0,46.27,10.39,22.0,158,35734473
47.38,8.54,54.0,47.38,8.54,24.0,158,69626542
47.62,7.24,90.0,47.62,7.24,68.0,158,2283759599
46.31,6.93,52.0,46.31,6.93,67.0,158,601941439
46.38,6.24,92.0,46.38,6.24,55.0,158,1368008360
47.67,7.57,99.0,47.67,7.57,59.0,158,362329212
46.92,7.03,94.0,46.92,7.03,64.0,158,1380491276
45.8,9.08,63.0,45.8,9.08,95.0,158,290723075
46.95,7.39,76.0,46.95,7.39,82.0,158,253707066
47.39,8.16,36.0,47.39,8.16,38.0,158,265721593
45.9,6.11,10.0,45.92,6.06,43.0,158,1534534880
47.43,8.67,54.0,47.43,8.67,15.0,158,223066365
47.36,7.9,94.0,47.36,7.9,26.0,158,1718965926
45.91,6.12,52.0,45.91,6.12,62.0,158,518878912
46.02,7.75,32.0,46.02,7.75,10.0,158,153500661
47.36,9.41,117.0,47.36,9.41,41.0,158,451236446
47.75,7.32,60.0,47.75,7.32,98.0,158,283008928
47.43,8.67,26.0,47.38,8.54,40.0,158,1931945840
46.2,6.14,91.0,46.2,6.14,67.0,158,3233539655
45.84,8.14,137.0,45.84,8.14,17.0,158,247764525
47.09,6.19,22.0,47.05,6.11,65.0,158,1659997646
46.0,6.68,37.0,46.0,6.68,121.0,158,1266782384
47.37,8.64,15.0,47.37,8.64,33.0,158,53349151
47.43,8.67,10.0,47.43,8.67,148.0,158,308222820
47.62,6.79,74.0,47.62,6.79,38.0,159,1496097229
46.35,7.13,14.0,46.21,6.12,29.0,159,942351200
45.82,8.82,45.0,45.82,8.83,13.0,159,283278062
46.82,8.23,63.0,46.82,8.23,72.0,159,94663233
47.19,7.7,93.0,47.19,7.7,66.0,159,1453681669
46.62,9.57,108.0,46.62,9.57,43.0,159,331498921
46.2,6.14,86.0,46.2,6.14,73.0,159,1693510531
47.54,8.08,10.0,47.54,8.08,30.0,159,420501143
47.52,8.77,75.0,47.52,8.77,83.0,159,232363862
46.2,6.16,89.0,46.2,6.16,68.0,159,334794937
47.38,8.54,47.0,47.22,8.67,29.0,159,634420229
46.0,8.75,36.0,46.0,8.75,92.0,159,158045162
46.23,7.26,45.0,46.23,7.26,37.0,159,3369419746
46.82,7.14,44.0,46.82,7.14,45.0,159,133197834
47.72,7.28,30.0,47.72,7.28,77.0,159,554512625
45.86,6.21,23.0,47.2,8.73,34.0,159,609899797
47.42,9.36,64.0,47.42,9.36,30.0,159,376660360
47.06,6.74,76.0,47.06,6.74,64.0,160,351850294
47.23,8.94,65.0,47.23,8.94,83.0,160,2782762145
46.07,6.41,51.0,46.86,7.13,17.0,160,843897787
45.94,9.19,99.0,45.94,9.19,53.0,160,2759722259
46.52,6.94,73.0,46.52,6.94,80.0,160,2365358133
45.85,10.17,43.0,45.85,10.17,117.0,160,142129036
47.62,6.79,100.0,47.62,6.79,60.0,160,1606222626
46.34,6.16,45.0,46.34,6.16,88.0,160,273560152
46.13,8.29,43.0,46.13,8.29,81.0,160,1451813330
46.81,8.22,13.0,46.81,8.22,11.0,160,150271467
46.95,7.44,54.0,46.95,7.44,12.0,160,2239897748
47.55,7.66,52.0,47.54,7.7,53.0,160,135160203
46.46,6.86,50.0,46.56,6.56,23.0,160,569275167
47.38,8.54,44.0,47.38,8.54,117.0,161,1497684121
46.99,7.4,30.0,46.99,7.4,45.0,161,300011444
45.74,7.07,10.0,45.74,7.07,15.0,161,507759498
47.38,8.54,75.0,47.38,8.54,86.0,161,2260102204
45.8,9.08,73.0,45.8,9.08,87.0,161,2512286667
46.2,6.14,47.0,46.2,6.14,114.0,161,2763856596
47.39,8.68,62.0,47.39,8.68,95.0,161,1295607314
47.38,8.54,11.0,46.95,7.39,25.0,161,3403559897
45.92,6.13,22.0,45.92,6.13,119.0,161,2734276924
47.38,8.54,132.0,47.38,8.54,27.0,161,95381291
46.52,10.13,39.0,46.52,10.13,123.0,162,1692014749
46.53,6.58,52.0,46.53,6.58,82.0,162,505202968
47.38,8.54,105.0,47.38,8.54,44.0,162,53581322
46.44,9.18,36.0,46.44,9.18,30.0,162,996927104
45.8,9.08,60.0,45.8,9.08,96.0,162,96738439
46.77,9.82,35.0,46.77,9.82,18.0,162,59377252
47.14,9.52,27.0,47.14,9.52,13.0,162,2214097249
45.85,6.1,47.0,45.85,6.1,110.0,162,584144950
45.8,9.08,70.0,45.8,9.08,92.0,162,701420129708593152
45.8,9.08,64.0,45.8,9.08,47.0,162,427651271
47.87,8.77,57.0,47.87,8.77,48.0,162,2829220756
47.63,6.71,40.0,47.63,6.71,65.0,162,2454730302
45.86,6.08,22.0,45.86,6.08,32.0,162,2240917320
45.83,6.81,92.0,45.83,6.81,56.0,162,2781661936
46.81,8.22,129.0,46.81,8.22,33.0,162,3010047647
45.89,6.8,75.0,45.89,6.8,52.0,163,623735967
47.75,7.32,72.0,47.75,7.32,78.0,163,276604152
47.38,8.54,14.0,47.38,8.54,12.0,163,2203245955
45.93,6.87,24.0,45.93,6.87,22.0,163,719639131710599168
47.38,8.54,38.0,47.38,8.54,22.0,163,327414431
45.98,6.47,56.0,45.98,6.47,41.0,163,600405443
45.78,10.34,21.0,45.6,10.23,70.0,163,51233
47.28,9.86,72.0,47.28,9.86,64.0,163,630122346
46.83,7.52,20.0,47.15,7.26,84.0,163,123467008
45.8,6.11,37.0,45.8,6.11,47.0,163,2184921750
46.22,7.35,15.0,46.21,7.26,26.0,163,793952168
47.46,9.05,116.0,47.46,9.05,47.0,163,479330460
47.56,7.58,109.0,47.56,7.61,13.0,163,2974349345
46.32,6.0,77.0,46.32,6.0,34.0,163,495197923
46.19,6.77,72.0,46.19,6.77,91.0,163,551774954
47.34,9.5,40.0,47.34,9.5,73.0,163,245909676
46.45,6.93,78.0,46.45,6.93,82.0,163,133068874
46.8,7.16,21.0,46.8,7.16,13.0,163,1402001678
46.72,9.55,18.0,46.69,9.45,47.0,164,2827953087
45.9,6.65,100.0,45.9,6.65,50.0,164,4040105187
46.23,7.26,27.0,46.22,7.27,13.0,164,786761768
45.9,6.13,104.0,45.9,6.13,23.0,164,3290001425
47.03,8.31,21.0,47.03,8.31,22.0,164,250287629
46.25,6.07,26.0,46.25,6.07,14.0,164,387081922
46.75,7.62,37.0,46.75,7.62,107.0,164,3589790601
46.14,6.36,58.0,46.14,6.36,21.0,164,196242106
45.86,8.84,21.0,45.86,8.84,15.0,164,2862772620
47.63,7.68,66.0,47.63,7.68,96.0,164,2948669099
47.2,5.94,19.0,47.26,6.0,23.0,164,739237290
47.05,8.31,16.0,47.06,8.31,67.0,164,24685439
47.5,7.25,79.0,47.5,7.25,65.0,164,582544480
47.15,9.48,104.0,47.15,9.48,60.0,164,1686400782
46.8,9.83,28.0,46.8,9.83,16.0,164,2979880064
46.13,8.25,104.0,46.13,8.25,14.0,164,610039775
46.33,6.05,26.0,46.33,6.05,123.0,164,3093515072
46.19,6.22,61.0,46.19,6.22,71.0,164,1917648296
45.99,8.95,10.0,46.0,8.96,81.0,165,438213921
47.43,8.67,83.0,47.43,8.67,82.0,165,458362961
47.43,8.67,32.0,47.43,8.67,133.0,165,794209195
47.14,7.26,42.0,47.14,7.26,123.0,165,710507490
47.42,9.36,53.0,47.42,9.36,112.0,165,3044609297
47.74,10.3,86.0,47.74,10.3,79.0,165,3339942501
45.86,9.43,108.0,45.86,9.43,38.0,165,2269417069
46.95,7.44,37.0,46.95,7.44,24.0,165,1869222438
46.2,6.14,99.0,46.2,6.14,66.0,165,704004198870990848
46.62,9.61,116.0,46.62,9.61,49.0,165,80297438
47.26,6.01,91.0,47.26,6.01,74.0,165,547418041
45.83,8.81,52.0,45.83,8.81,39.0,165,3305772077
45.82,8.99,75.0,45.82,8.99,90.0,165,550132218
46.69,9.65,67.0,46.69,9.65,61.0,165,1000008883
46.2,6.14,100.0,46.2,6.14,64.0,166,736976078
46.23,6.12,64.0,46.23,6.12,93.0,166,369048800
45.97,6.72,56.0,45.97,6.72,42.0,166,3347847605
47.57,7.57,10.0,47.57,7.57,11.0,166,191943556
46.19,6.13,111.0,46.19,6.13,55.0,166,553112789
45.85,6.1,41.0,45.85,6.1,121.0,166,326789818
47.38,8.54,47.0,47.38,8.54,36.0,166,731475314
45.85,6.1,77.0,47.76,7.34,12.0,166,4892610489
47.31,7.76,11.0,47.38,8.08,11.0,166,3360961990
45.83,8.81,13.0,45.83,8.81,153.0,166,444094538
46.2,6.14,72.0,46.2,6.14,92.0,166,1109856697
47.33,8.55,72.0,47.33,8.55,85.0,166,2821037301
45.83,8.81,39.0,45.83,8.81,37.0,166,2187069686
46.38,6.24,52.0,46.38,6.24,65.0,166,923686753
46.4,6.6,28.0,46.4,6.59,17.0,166,1131943531
47.57,7.57,62.0,47.57,7.57,32.0,166,2558990981
47.39,8.17,27.0,47.4,8.17,84.0,167,1516013911
47.38,8.54,119.0,47.38,8.54,46.0,167,63285134
47.75,7.33,38.0,47.75,7.33,128.0,167,457002799
45.93,6.93,102.0,45.93,6.93,55.0,167,791209740
45.9,6.65,40.0,45.9,6.65,26.0,167,1536013260
45.93,5.99,17.0,45.85,6.1,28.0,167,185137769
46.95,7.45,28.0,45.8,8.41,21.0,167,253252529
45.83,8.8,24.0,45.83,8.8,73.0,167,1148061104
46.14,6.68,85.0,46.14,6.68,63.0,167,1037479752
47.38,8.54,116.0,47.38,8.54,22.0,167,1859565680
47.37,9.77,105.0,47.37,9.77,62.0,167,2525424401
45.91,9.13,42.0,45.91,9.13,35.0,167,531619153
46.0,8.96,30.0,46.0,8.96,137.0,167,890797362
46.52,6.59,12.0,46.52,6.6,54.0,167,55399573
45.89,6.33,74.0,45.89,6.33,20.0,167,551219503
47.57,7.57,59.0,47.57,7.57,91.0,167,505874892
47.38,8.54,73.0,47.43,8.67,21.0,167,17085651
46.2,9.04,67.0,46.2,9.04,18.0,167,2421207259
46.87,6.73,49.0,46.85,6.73,15.0,168,3051551223
47.42,9.37,45.0,47.42,9.37,54.0,168,48110144
46.18,6.22,90.0,46.18,6.22,78.0,168,729364734588428289
46.09,5.95,79.0,46.09,5.95,69.0,168,2897514064
45.8,9.08,30.0,45.8,9.08,137.0,168,43432011
45.77,6.2,38.0,45.77,6.2,53.0,168,334886472
46.25,6.13,128.0,46.25,6.13,17.0,168,355732711
46.17,7.19,58.0,46.17,7.19,60.0,168,246915796
47.25,7.97,52.0,47.25,7.97,116.0,168,1913907919
47.5,8.73,66.0,47.5,8.73,102.0,168,1642462711
46.17,6.24,58.0,46.17,6.24,55.0,168,278986986
45.81,8.83,21.0,45.81,8.83,42.0,168,1482048132
47.26,6.02,20.0,47.2,5.97,17.0,168,176177978
47.2,5.94,84.0,47.2,5.94,75.0,168,773443818
46.35,7.01,70.0,46.34,7.01,12.0,168,189426456
47.2,5.94,78.0,47.2,5.94,90.0,168,306265213
47.58,6.97,33.0,47.58,6.97,118.0,168,1074429787
45.8,9.08,100.0,45.8,9.08,69.0,169,1099567670
47.82,6.38,96.0,47.82,6.38,66.0,169,2563273527
46.54,6.62,12.0,46.53,6.63,49.0,169,520278917
46.21,6.11,37.0,46.21,6.11,132.0,169,974318592
47.18,7.54,82.0,47.18,7.54,86.0,169,2332052263
47.47,6.69,79.0,47.47,6.69,89.0,169,2517068650
45.83,8.8,132.0,45.83,8.8,30.0,169,701269885
46.81,8.22,30.0,46.81,8.22,21.0,169,2293214072
45.5,10.23,19.0,45.78,10.34,13.0,169,134857058
47.62,6.79,50.0,47.62,6.79,112.0,169,2745273341
47.56,9.71,74.0,47.56,9.71,95.0,169,201137678
47.48,9.76,45.0,47.48,9.75,22.0,169,2526567975
45.97,8.77,44.0,45.97,8.77,14.0,169,266267702
46.36,8.97,26.0,46.36,9.02,32.0,169,1355134830
47.72,7.28,75.0,47.72,7.28,95.0,170,314654336
46.22,6.11,93.0,46.22,6.11,76.0,170,40121462
47.29,7.03,61.0,47.29,7.03,109.0,170,2942788053
46.21,6.26,14.0,45.89,6.13,48.0,170,1661438834
47.15,7.27,39.0,47.15,7.27,76.0,170,797974026
